(5000, 64)
num_iter = 1000, r=2, k=3, acc=0.41444
num_iter = 1000, r=2, k=4, acc=0.40000
num_iter = 1000, r=2, k=5, acc=0.39022
num_iter = 1000, r=3, k=1, acc=0.47800
num_iter = 1000, r=3, k=2, acc=0.46044
num_iter = 1000, r=3, k=3, acc=0.44556
num_iter = 1000, r=3, k=4, acc=0.43333
num_iter = 1000, r=3, k=5, acc=0.42911
num_iter = 1000, r=4, k=1, acc=0.47733
num_iter = 1000, r=4, k=2, acc=0.44667
num_iter = 1000, r=4, k=3, acc=0.42756
num_iter = 1000, r=4, k=4, acc=0.40800
num_iter = 1000, r=4, k=5, acc=0.38378
num_iter = 1000, r=5, k=1, acc=0.48822
num_iter = 1000, r=5, k=2, acc=0.45622
num_iter = 1000, r=5, k=3, acc=0.42467
num_iter = 1000, r=5, k=4, acc=0.40778
num_iter = 1000, r=5, k=5, acc=0.39467
